label,name
0,banded
1,blotchy
2,braided
3,bubbly
4,bumpy
5,chequered
6,cobwebbed
7,cracked
8,crosshatched
9,crystalline
10,dotted
11,fibrous
12,flecked
13,freckled
14,frilly
15,gauzy
16,grid
17,grooved
18,honeycombed
19,interlaced
20,knitted
21,lacelike
22,lined
23,marbled
24,matted
25,meshed
26,paisley
27,perforated
28,pitted
29,pleated
30,polka-dotted
31,porous
32,potholed
33,scaly
34,smeared
35,spiralled
36,sprinkled
37,stained
38,stratified
39,striped
40,studded
41,swirly
42,veined
43,waffled
44,woven
45,wrinkled
46,zigzagged
