dataset,category,raw_label,raw_name,broden_label,broden_name
ade20k,object,1,-,0,-
ade20k,object,3,abacus,0,-
ade20k,object,4,accordion;piano accordion;squeeze box,0,-
ade20k,object,5,acropolis,0,-
ade20k,object,6,ad;advertisement;advertizement;advertising;advertizing;advert,0,-
ade20k,object,10,air conditioner;air conditioning,130,air conditioner
ade20k,object,14,airplane;aeroplane;plane,68,airplane
ade20k,object,15,airport cart,0,-
ade20k,object,18,alembic,0,-
ade20k,object,24,amphora,0,-
ade20k,object,29,animal;animate being;beast;brute;creature;fauna,226,animal
ade20k,object,32,antenna;aerial;transmitting aerial,212,antenna
ade20k,object,33,antler,0,-
ade20k,object,35,anvil,0,-
ade20k,object,38,apparel;wearing apparel;dress;clothes,182,apparel
ade20k,object,39,apple,0,-
ade20k,object,42,apron,0,-
ade20k,object,44,aqueduct,0,-
ade20k,object,47,arcade machine,275,arcade machine
ade20k,object,48,arcade machines,275,arcade machine
ade20k,object,49,arcade;colonnade,312,arcade
ade20k,object,52,arch;archway,0,-
ade20k,object,57,armchair,44,armchair
ade20k,object,61,art mannequin,0,-
ade20k,object,63,artificial golf green,0,-
ade20k,object,64,ashcan;trash can;garbage can;wastebin;ash bin;ash-bin;ashbin;dustbin;trash barrel;trash bin,60,ashcan
ade20k,object,65,ashtray,251,ashtray
ade20k,object,66,asymmetric bars,0,-
ade20k,object,71,autopsy table,0,-
ade20k,object,72,auxiliary trolley,0,-
ade20k,object,73,aviary,0,-
ade20k,object,74,avocados,0,-
ade20k,object,75,award,0,-
ade20k,object,76,awards,0,-
ade20k,object,77,awning;sunshade;sunblind,84,awning
ade20k,object,78,ax,0,-
ade20k,object,79,baby buggy;baby carriage;carriage;perambulator;pram;stroller;go-cart;pushchair;pusher,288,baby buggy
ade20k,object,80,baby chair,0,-
ade20k,object,81,baby walker,0,-
ade20k,object,82,baby weighs,0,-
ade20k,object,87,backdrop,0,-
ade20k,object,88,backdrops,0,-
ade20k,object,89,background,0,-
ade20k,object,90,backpack;back pack;knapsack;packsack;rucksack;haversack,189,backpack
ade20k,object,91,backpacks,189,backpack
ade20k,object,93,badge,0,-
ade20k,object,94,badlands,0,-
ade20k,object,95,bag,55,bag
ade20k,object,96,bag;handbag;pocketbook;purse,178,handbag
ade20k,object,97,bag;traveling bag;travelling bag;grip;suitcase,215,traveling bag
ade20k,object,99,baggage carts,0,-
ade20k,object,100,bagpipes,0,-
ade20k,object,101,balcony,0,-
ade20k,object,102,balcony covered,0,-
ade20k,object,103,ball,188,ball
ade20k,object,104,ball rack,0,-
ade20k,object,105,ball stands,0,-
ade20k,object,107,ball;globe;orb,0,-
ade20k,object,108,balloon,0,-
ade20k,object,109,balloons,0,-
ade20k,object,110,ballots,0,-
ade20k,object,111,balls rack,0,-
ade20k,object,113,bamboo,0,-
ade20k,object,114,bamboo canes,0,-
ade20k,object,115,bananas,0,-
ade20k,object,116,bandstand,0,-
ade20k,object,117,banjo,0,-
ade20k,object,118,banner;streamer,243,banner
ade20k,object,119,banners,243,banner
ade20k,object,120,bannister;banister;balustrade;balusters;handrail,101,bannister
ade20k,object,121,baptismal font,0,-
ade20k,object,122,baptistry,0,-
ade20k,object,123,bar,186,bar
ade20k,object,124,bar lift,0,-
ade20k,object,125,barbecue,0,-
ade20k,object,126,barbed wire,0,-
ade20k,object,127,barbell,0,-
ade20k,object,128,barn,0,-
ade20k,object,129,barrack buildings,0,-
ade20k,object,130,barrel rack,0,-
ade20k,object,131,barrel;cask,284,barrel
ade20k,object,132,barrels,284,barrel
ade20k,object,133,barricade,0,-
ade20k,object,134,barrier,0,-
ade20k,object,136,base,107,base
ade20k,object,137,base;pedestal;stand,107,base
ade20k,object,138,baseball,0,-
ade20k,object,139,baseball glove,0,-
ade20k,object,141,baseboard;mopboard;skirting board,0,-
ade20k,object,142,baseboards,0,-
ade20k,object,143,basin,0,-
ade20k,object,145,basket;basketball hoop;hoop,0,-
ade20k,object,146,basket;handbasket,64,basket
ade20k,object,147,basketball,0,-
ade20k,object,148,basketball court,0,-
ade20k,object,149,baskets,64,basket
ade20k,object,150,bass drum,0,-
ade20k,object,151,bassinet,0,-
ade20k,object,152,bat,0,-
ade20k,object,153,bath sponge,0,-
ade20k,object,154,bathrobe,0,-
ade20k,object,155,bathtub;bathing tub;bath;tub,109,bathtub
ade20k,object,156,batting cage,0,-
ade20k,object,159,beach wrap,0,-
ade20k,object,160,beacon;lighthouse;beacon light;pharos,321,lighthouse
ade20k,object,161,beam,191,beam
ade20k,object,162,beams,191,beam
ade20k,object,163,bear,0,-
ade20k,object,164,bear cutout,0,-
ade20k,object,165,bed,28,bed
ade20k,object,168,bed trolley,0,-
ade20k,object,170,beds,28,bed
ade20k,object,171,bedspread,0,-
ade20k,object,173,beer machine,0,-
ade20k,object,174,beer pump,0,-
ade20k,object,175,bell,0,-
ade20k,object,177,belt,0,-
ade20k,object,178,belt loader,0,-
ade20k,object,179,belt rack,0,-
ade20k,object,180,belts,0,-
ade20k,object,181,bench,62,bench
ade20k,object,182,berth,0,-
ade20k,object,183,bib,0,-
ade20k,object,185,bicycle rack,0,-
ade20k,object,186,bicycle racks,0,-
ade20k,object,187,bicycle;bike;wheel;cycle,57,bicycle
ade20k,object,188,bidet,0,-
ade20k,object,189,bidon,0,-
ade20k,object,190,big top,0,-
ade20k,object,191,big wheel,0,-
ade20k,object,193,bildings,0,-
ade20k,object,194,billboard;hoarding,301,billboard
ade20k,object,195,bin,0,-
ade20k,object,196,binder;ring-binder,0,-
ade20k,object,197,binoculars,0,-
ade20k,object,198,bird,69,bird
ade20k,object,199,birdcage,0,-
ade20k,object,200,birds,69,bird
ade20k,object,201,bitch,0,-
ade20k,object,202,blackboard;chalkboard,317,blackboard
ade20k,object,204,blade;vane,0,-
ade20k,object,206,blanket;cover,163,blanket
ade20k,object,207,blankets,163,blanket
ade20k,object,208,blast furnace,0,-
ade20k,object,209,bleachers,0,-
ade20k,object,210,blender,0,-
ade20k,object,212,blind;screen,116,blind
ade20k,object,213,blinds,116,blind
ade20k,object,214,block,0,-
ade20k,object,215,blocks,0,-
ade20k,object,216,blouse,0,-
ade20k,object,217,blusher brush,0,-
ade20k,object,219,board game,0,-
ade20k,object,220,board;plank,118,board
ade20k,object,221,boards,118,board
ade20k,object,222,boardwalk,0,-
ade20k,object,223,boat,63,boat
ade20k,object,224,boat stop,0,-
ade20k,object,225,body,0,-
ade20k,object,226,bog water,0,-
ade20k,object,227,boiler,214,kettle
ade20k,object,228,boillers,0,-
ade20k,object,229,bollard,0,-
ade20k,object,230,bolt,0,-
ade20k,object,231,bomb,0,-
ade20k,object,232,bone,0,-
ade20k,object,233,bones,0,-
ade20k,object,234,bonfire,0,-
ade20k,object,235,bonnet,0,-
ade20k,object,236,book,36,book
ade20k,object,237,book rack,0,-
ade20k,object,238,book stand,0,-
ade20k,object,239,bookcase,143,bookcase
ade20k,object,240,bookend,0,-
ade20k,object,241,bookends,0,-
ade20k,object,242,booklet;brochure;folder;leaflet;pamphlet,203,booklet
ade20k,object,243,bookstall,0,-
ade20k,object,244,boomerang,0,-
ade20k,object,245,boot,0,-
ade20k,object,246,booth,254,booth
ade20k,object,247,booth;cubicle;stall;kiosk,254,booth
ade20k,object,248,booths,254,booth
ade20k,object,249,bottle,33,bottle
ade20k,object,250,bottle pack,0,-
ade20k,object,251,bottle rack,0,-
ade20k,object,253,bough,0,-
ade20k,object,254,boulder,0,-
ade20k,object,255,bounce seat,0,-
ade20k,object,256,bouquet;corsage;posy;nosegay,256,bouquet
ade20k,object,257,bow,0,-
ade20k,object,258,bow window,0,-
ade20k,object,259,bowl,66,bowl
ade20k,object,260,bowling alley,0,-
ade20k,object,261,bowling alleys,0,-
ade20k,object,262,bowling ball return,0,-
ade20k,object,263,bowling pin,0,-
ade20k,object,264,bowling pins,0,-
ade20k,object,265,bowls,66,bowl
ade20k,object,266,box,30,box
ade20k,object,267,box jury,0,-
ade20k,object,268,box office;ticket office;ticket booth,0,-
ade20k,object,270,box stands,0,-
ade20k,object,271,box-file,0,-
ade20k,object,272,boxing gloves,0,-
ade20k,object,273,bracelet,0,-
ade20k,object,274,bracelets,0,-
ade20k,object,275,bracket,0,-
ade20k,object,276,brake pedal,0,-
ade20k,object,277,branch,0,-
ade20k,object,278,branches,0,-
ade20k,object,279,bread basket,0,-
ade20k,object,280,bread box,0,-
ade20k,object,282,bread roll,0,-
ade20k,object,283,bread rolls,0,-
ade20k,object,285,bread tray,0,-
ade20k,object,286,bread;breadstuff;staff of life,304,bread
ade20k,object,287,breadbasket,0,-
ade20k,object,288,breads,304,bread
ade20k,object,289,breaker box,0,-
ade20k,object,290,breakwater,0,-
ade20k,object,291,brewery,0,-
ade20k,object,292,brick,0,-
ade20k,object,293,bricks,0,-
ade20k,object,294,bridge;span,135,bridge
ade20k,object,295,bridges,135,bridge
ade20k,object,296,briefcase,333,briefcase
ade20k,object,297,brochure,203,booklet
ade20k,object,298,brochures rack,0,-
ade20k,object,299,broom,0,-
ade20k,object,300,brush,201,brush
ade20k,object,301,brushes,0,-
ade20k,object,303,bucket;pail,96,bucket
ade20k,object,304,buckets,96,bucket
ade20k,object,305,bud,0,-
ade20k,object,306,buds,0,-
ade20k,object,307,buffet,213,buffet
ade20k,object,308,buffet;counter;sideboard,213,buffet
ade20k,object,309,buggy,0,-
ade20k,object,310,building arena,0,-
ade20k,object,311,building materials,0,-
ade20k,object,312,building;edifice,5,building
ade20k,object,314,bulbs,0,-
ade20k,object,315,bull,0,-
ade20k,object,316,bull skull,0,-
ade20k,object,317,bulldozer,0,-
ade20k,object,318,bulletin board;notice board,167,bulletin board
ade20k,object,319,bullring,0,-
ade20k,object,320,bumper,0,-
ade20k,object,321,bunch,0,-
ade20k,object,322,buoy,0,-
ade20k,object,323,buoys,0,-
ade20k,object,324,burner,0,-
ade20k,object,325,bus station,0,-
ade20k,object,326,bus stop,322,bus stop
ade20k,object,327,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger vehicle,153,coach
ade20k,object,328,buses,120,bus
ade20k,object,330,business card,0,-
ade20k,object,331,business cards,0,-
ade20k,object,332,butane gas cylinder,0,-
ade20k,object,334,butchery,0,-
ade20k,object,335,butter,0,-
ade20k,object,336,butter dish,0,-
ade20k,object,337,butterfly,0,-
ade20k,object,340,button box,0,-
ade20k,object,344,buttress,0,-
ade20k,object,345,buzzer,0,-
ade20k,object,346,bycicle carriage,0,-
ade20k,object,348,cabbages,0,-
ade20k,object,349,cabin,0,-
ade20k,object,350,cabinet,19,cabinet
ade20k,object,351,cabins,0,-
ade20k,object,352,cable,0,-
ade20k,object,353,cable car,0,-
ade20k,object,354,cable railway,0,-
ade20k,object,355,cables,0,-
ade20k,object,356,cactus,0,-
ade20k,object,357,cage,305,cage
ade20k,object,358,cages,305,cage
ade20k,object,359,cake mold,0,-
ade20k,object,360,calculator,0,-
ade20k,object,361,calendar,332,calendar
ade20k,object,362,call buttons,0,-
ade20k,object,363,camcorder,0,-
ade20k,object,364,camel,0,-
ade20k,object,365,camels,0,-
ade20k,object,366,camera;photographic camera,232,camera
ade20k,object,367,camouflage,0,-
ade20k,object,368,camping stove,0,-
ade20k,object,370,can opener,0,-
ade20k,object,371,can;tin;tin can,140,can
ade20k,object,372,canal,0,-
ade20k,object,373,candelabrum;candelabra,270,candelabrum
ade20k,object,374,candies,0,-
ade20k,object,376,candle;taper;wax light,175,candle
ade20k,object,377,candles,175,candle
ade20k,object,378,candlestick;candle holder,115,candlestick
ade20k,object,379,candy bag,0,-
ade20k,object,380,candy bags,0,-
ade20k,object,381,candy track,0,-
ade20k,object,382,candy;confect,0,-
ade20k,object,383,cane,0,-
ade20k,object,384,canes,0,-
ade20k,object,385,canister;cannister;tin,263,canister
ade20k,object,386,canlendar,0,-
ade20k,object,387,cannon,0,-
ade20k,object,388,canoe,0,-
ade20k,object,389,canopy,283,canopy
ade20k,object,390,canvas,0,-
ade20k,object,391,canvases,0,-
ade20k,object,392,canyon,0,-
ade20k,object,393,canyons,0,-
ade20k,object,394,cap,303,cap
ade20k,object,395,cape,0,-
ade20k,object,397,caps,303,cap
ade20k,object,398,car scrapping,0,-
ade20k,object,399,car wash,0,-
ade20k,object,400,car wreck,0,-
ade20k,object,401,car;auto;automobile;machine;motorcar,13,car
ade20k,object,402,caravan,0,-
ade20k,object,403,caravans,0,-
ade20k,object,404,card,0,-
ade20k,object,405,card display,0,-
ade20k,object,406,card table,0,-
ade20k,object,407,cardboard,0,-
ade20k,object,409,cargo,0,-
ade20k,object,410,carousel,0,-
ade20k,object,411,carousel horse,0,-
ade20k,object,412,carp,0,-
ade20k,object,413,carpets,38,carpet
ade20k,object,414,carport,0,-
ade20k,object,415,carriage,288,baby buggy
ade20k,object,416,cars scraping,0,-
ade20k,object,417,cars scrapping,0,-
ade20k,object,418,cart,279,cart
ade20k,object,419,carts,279,cart
ade20k,object,420,case;display case;showcase;vitrine,151,case
ade20k,object,421,cases,151,case
ade20k,object,422,cash register;register,331,cash register
ade20k,object,424,casing interior,0,-
ade20k,object,425,casket,0,-
ade20k,object,426,casserole,0,-
ade20k,object,427,cassette,0,-
ade20k,object,428,cassettes,0,-
ade20k,object,429,castle,0,-
ade20k,object,430,cat,49,cat
ade20k,object,431,catch,0,-
ade20k,object,432,catwalk,0,-
ade20k,object,433,cauldron,0,-
ade20k,object,434,cave,0,-
ade20k,object,435,cave entrance,0,-
ade20k,object,436,cavern,0,-
ade20k,object,437,cd,315,cd
ade20k,object,438,cd box,0,-
ade20k,object,439,cd player,0,-
ade20k,object,440,cd rack,0,-
ade20k,object,441,cd shelf,0,-
ade20k,object,442,cd stack,0,-
ade20k,object,443,cd stand,0,-
ade20k,object,444,cds,315,cd
ade20k,object,445,cds box,0,-
ade20k,object,447,ceiling,7,ceiling
ade20k,object,448,ceiling controls,0,-
ade20k,object,449,ceiling decor,0,-
ade20k,object,450,ceiling piece,0,-
ade20k,object,452,cell,0,-
ade20k,object,453,cell door,0,-
ade20k,object,454,cello,0,-
ade20k,object,455,cello cover,0,-
ade20k,object,456,cells,0,-
ade20k,object,457,cellular telephone;cellular phone;cellphone;cell;mobile phone,0,-
ade20k,object,458,cement,0,-
ade20k,object,459,centerpiece,0,-
ade20k,object,461,central reservation,166,central reservation
ade20k,object,462,centrifuge,0,-
ade20k,object,463,ceramic box,0,-
ade20k,object,464,ceramic pot,0,-
ade20k,object,465,ceramic ware,0,-
ade20k,object,466,ceramics box,0,-
ade20k,object,467,certificate,0,-
ade20k,object,468,chain,0,-
ade20k,object,469,chains,0,-
ade20k,object,470,chainsaw,0,-
ade20k,object,471,chair,12,chair
ade20k,object,472,chair desk,0,-
ade20k,object,473,chair lift,0,-
ade20k,object,474,chairs desk,0,-
ade20k,object,475,chairs lift,0,-
ade20k,object,476,chaise lounge,0,-
ade20k,object,477,chalk,0,-
ade20k,object,478,champagne bucket,0,-
ade20k,object,479,champagne stand,0,-
ade20k,object,480,chandelier;pendant;pendent,75,chandelier
ade20k,object,481,change machine,0,-
ade20k,object,482,check-in-desk,0,-
ade20k,object,483,check-in-desks,0,-
ade20k,object,484,checkers pieces,0,-
ade20k,object,485,checkers table,0,-
ade20k,object,486,checkpoint,0,-
